web-scraper-order,web-scraper-start-url,link-pergunta,link-pergunta-href
"1590675611-645","https://www.quora.com/profile/Vincent-Pisano-2/questions","Have you ever attended a KBO baseball game?","https://www.quora.com/unanswered/Have-you-ever-attended-a-KBO-baseball-game"
"1590675611-413","https://www.quora.com/profile/Vincent-Pisano-2/questions","As a teacher, what do you think of how Andrew Cuomo feels about schools?","https://www.quora.com/unanswered/As-a-teacher-what-do-you-think-of-how-Andrew-Cuomo-feels-about-schools"
"1590675611-162","https://www.quora.com/profile/Vincent-Pisano-2/questions","What was it like to save a life during the coronavirus?","https://www.quora.com/unanswered/What-was-it-like-to-save-a-life-during-the-coronavirus"
"1590675611-321","https://www.quora.com/profile/Vincent-Pisano-2/questions","Why did a TikTok user receive backlash for a Quran prayer?","https://www.quora.com/Why-did-a-TikTok-user-receive-backlash-for-a-Quran-prayer"
"1590675611-777","https://www.quora.com/profile/Vincent-Pisano-2/questions","Do children care about closed doors?","https://www.quora.com/Do-children-care-about-closed-doors"
"1590675611-203","https://www.quora.com/profile/Vincent-Pisano-2/questions","What toy has the funniest translation?","https://www.quora.com/unanswered/What-toy-has-the-funniest-translation"
"1590675611-306","https://www.quora.com/profile/Vincent-Pisano-2/questions","What books ticked off a lot of business executives?","https://www.quora.com/What-books-ticked-off-a-lot-of-business-executives"
"1590675611-747","https://www.quora.com/profile/Vincent-Pisano-2/questions","What is the meaning of the song ""I Hope You Dance"" by Lee Ann Womack?","https://www.quora.com/What-is-the-meaning-of-the-song-I-Hope-You-Dance-by-Lee-Ann-Womack"
"1590675611-479","https://www.quora.com/profile/Vincent-Pisano-2/questions","During the 2020 Money In The Bank matches, was that Vince McMahon's actual office?","https://www.quora.com/During-the-2020-Money-In-The-Bank-matches-was-that-Vince-McMahons-actual-office"
"1590675611-574","https://www.quora.com/profile/Vincent-Pisano-2/questions","Are you proud of getting a degree from Rutherford College?","https://www.quora.com/unanswered/Are-you-proud-of-getting-a-degree-from-Rutherford-College"
"1590675611-152","https://www.quora.com/profile/Vincent-Pisano-2/questions","Does Conor McGregor's Proper 12 whiskey go down smooth?","https://www.quora.com/Does-Conor-McGregors-Proper-12-whiskey-go-down-smooth"
"1590675611-795","https://www.quora.com/profile/Vincent-Pisano-2/questions","What is the oldest Twitch account?","https://www.quora.com/unanswered/What-is-the-oldest-Twitch-account"
"1590675611-308","https://www.quora.com/profile/Vincent-Pisano-2/questions","Why is MrBeast different from other social media accounts and streaming accounts?","https://www.quora.com/unanswered/Why-is-MrBeast-different-from-other-social-media-accounts-and-streaming-accounts"
"1590675611-181","https://www.quora.com/profile/Vincent-Pisano-2/questions","What is the strangest thing that you've seen someone let slide during the coronavirus?","https://www.quora.com/unanswered/What-is-the-strangest-thing-that-youve-seen-someone-let-slide-during-the-coronavirus"
"1590675611-470","https://www.quora.com/profile/Vincent-Pisano-2/questions","When will gyms in Connecticut open?","https://www.quora.com/unanswered/When-will-gyms-in-Connecticut-open"
"1590675611-828","https://www.quora.com/profile/Vincent-Pisano-2/questions","How do you dance with an N95 mask on?","https://www.quora.com/unanswered/How-do-you-dance-with-an-N95-mask-on"
"1590675611-511","https://www.quora.com/profile/Vincent-Pisano-2/questions","How do you assign a beneficiary to an M&T Bank account?","https://www.quora.com/unanswered/How-do-you-assign-a-beneficiary-to-an-M-T-Bank-account"
"1590675611-791","https://www.quora.com/profile/Vincent-Pisano-2/questions","What is the meaning of the song ""Here and Now"" by Kenny Chesney?","https://www.quora.com/unanswered/What-is-the-meaning-of-the-song-Here-and-Now-by-Kenny-Chesney"
"1590675611-651","https://www.quora.com/profile/Vincent-Pisano-2/questions","How old do you have to be to have bowling equipment drilled for you?","https://www.quora.com/How-old-do-you-have-to-be-to-have-bowling-equipment-drilled-for-you"
"1590675611-525","https://www.quora.com/profile/Vincent-Pisano-2/questions","Are you proud of getting a degree from the University of the Punjab?","https://www.quora.com/Are-you-proud-of-getting-a-degree-from-the-University-of-the-Punjab"
"1590675611-785","https://www.quora.com/profile/Vincent-Pisano-2/questions","What is the meaning of the song ""Roots Run Deep"" by Upchurch?","https://www.quora.com/unanswered/What-is-the-meaning-of-the-song-Roots-Run-Deep-by-Upchurch"
"1590675611-697","https://www.quora.com/profile/Vincent-Pisano-2/questions","What is the meaning of the song ""Peter Piper"" by Run-D.M.C.?","https://www.quora.com/unanswered/What-is-the-meaning-of-the-song-Peter-Piper-by-Run-D-M-C"
"1590675611-851","https://www.quora.com/profile/Vincent-Pisano-2/questions","As a Scorpio, who are your favorite musicians?","https://www.quora.com/As-a-Scorpio-who-are-your-favorite-musicians"
"1590675611-523","https://www.quora.com/profile/Vincent-Pisano-2/questions","When will gyms open in Puerto Rico?","https://www.quora.com/When-will-gyms-open-in-Puerto-Rico"
"1590675611-310","https://www.quora.com/profile/Vincent-Pisano-2/questions","Who has the best entrance in UFC history?","https://www.quora.com/unanswered/Who-has-the-best-entrance-in-UFC-history"
"1590675611-446","https://www.quora.com/profile/Vincent-Pisano-2/questions","What female fact made you think ""no wait, really""?","https://www.quora.com/unanswered/What-female-fact-made-you-think-no-wait-really"
